user_id,age,gender
0,50,M
1,41,F
2,44,Other
3,66,M
4,28,Other
5,66,M
6,40,F
7,50,M
8,58,Other
9,63,Other
10,64,F
11,46,M
12,48,F
13,18,Other
14,51,F
15,35,M
16,35,M
17,23,F
18,69,Other
19,57,Other
20,18,F
21,64,M
22,59,M
23,47,M
24,21,M
25,49,Other
26,27,M
27,60,F
28,22,F
29,26,F
30,22,F
31,28,M
32,52,Other
33,44,M
34,21,Other
35,27,M
36,56,Other
37,50,F
38,55,F
39,25,Other
40,66,Other
41,41,Other
42,56,F
43,50,F
44,58,M
45,60,Other
46,36,Other
47,19,Other
48,28,F
49,52,Other
50,34,Other
51,59,F
52,20,Other
53,39,M
54,52,F
55,38,F
56,42,F
57,56,M
58,19,F
59,18,F
60,24,F
61,37,F
62,60,M
63,23,Other
64,53,Other
65,68,F
66,38,M
67,68,F
68,63,Other
69,52,Other
70,53,M
71,25,Other
72,67,F
73,21,M
74,60,Other
75,33,F
76,20,M
77,24,F
78,19,Other
79,18,F
80,18,M
81,55,F
82,68,Other
83,24,M
84,41,M
85,22,Other
86,38,F
87,45,F
88,35,Other
89,41,M
90,49,Other
91,62,M
92,50,M
93,27,F
94,26,Other
95,66,M
96,50,F
97,50,Other
98,24,Other
99,21,M
100,45,M
101,40,M
102,49,Other
103,61,M
104,33,Other
105,63,F
106,27,Other
107,31,M
108,56,Other
109,53,M
110,51,F
111,41,M
112,35,M
113,33,M
114,58,M
115,54,M
116,58,M
117,42,F
118,25,F
119,41,Other
120,37,M
121,65,Other
122,47,F
123,37,F
124,35,M
125,21,M
126,65,Other
127,53,F
128,23,Other
129,20,Other
130,35,Other
131,64,M
132,57,F
133,35,Other
134,40,F
135,52,F
136,23,Other
137,43,Other
138,38,M
139,41,F
140,32,Other
141,44,Other
142,49,F
143,29,Other
144,22,F
145,24,Other
146,39,F
147,44,Other
148,32,Other
149,56,M
150,62,F
151,52,M
152,43,Other
153,40,F
154,30,F
155,43,Other
156,20,Other
157,46,Other
158,19,Other
159,45,F
160,40,M
161,53,F
162,66,F
163,23,F
164,28,F
165,55,Other
166,51,M
167,34,F
168,20,F
169,61,M
170,63,Other
171,51,F
172,39,Other
173,46,F
174,46,F
175,22,M
176,27,M
177,27,Other
178,26,F
179,38,Other
180,30,M
181,27,M
182,55,M
183,28,M
184,21,M
185,63,Other
186,48,Other
187,66,M
188,69,F
189,51,F
190,59,F
191,52,F
192,56,F
193,56,M
194,50,Other
195,25,M
196,49,F
197,50,F
198,25,Other
199,63,M
200,31,Other
201,51,F
202,25,F
203,68,Other
204,59,F
205,24,M
206,30,F
207,38,F
208,64,M
209,49,F
210,28,Other
211,31,Other
212,28,F
213,19,M
214,51,M
215,61,Other
216,64,F
217,34,M
218,31,M
219,42,Other
220,65,Other
221,44,M
222,25,Other
223,34,M
224,22,F
225,29,Other
226,55,Other
227,35,F
228,43,M
229,48,M
230,54,Other
231,23,M
232,58,M
233,32,F
234,59,F
235,66,F
236,43,Other
237,68,F
238,29,F
239,58,M
240,64,F
241,31,Other
242,18,F
243,34,Other
244,50,M
245,46,M
246,62,F
247,48,M
248,25,F
249,47,M
250,30,Other
251,33,M
252,19,F
253,62,F
254,35,F
255,52,Other
256,62,M
257,36,F
258,30,Other
259,68,Other
260,21,Other
261,36,M
262,67,M
263,42,M
264,55,Other
265,68,M
266,48,F
267,53,Other
268,21,M
269,56,Other
270,24,Other
271,33,M
272,65,Other
273,22,M
274,64,M
275,40,M
276,53,Other
277,49,Other
278,41,M
279,42,Other
280,62,M
281,45,F
282,36,Other
283,24,Other
284,61,F
285,58,F
286,34,F
287,19,M
288,33,M
289,56,F
290,35,M
291,56,Other
292,18,F
293,20,Other
294,38,M
295,47,F
296,28,M
297,39,Other
298,64,M
299,42,Other
300,20,M
301,47,Other
302,41,M
303,62,F
304,53,F
305,40,M
306,25,Other
307,21,M
308,67,F
309,56,Other
310,60,M
311,48,M
312,46,Other
313,53,M
314,30,F
315,58,F
316,26,Other
317,38,M
318,68,M
319,20,F
320,42,Other
321,42,Other
322,29,Other
323,46,F
324,28,F
325,69,Other
326,28,Other
327,66,M
328,43,M
329,31,Other
330,33,F
331,27,F
332,48,M
333,48,Other
334,53,F
335,27,F
336,43,F
337,37,F
338,61,M
339,26,F
340,32,F
341,26,Other
342,24,Other
343,43,M
344,41,M
345,29,M
346,37,M
347,31,F
348,39,Other
349,33,F
350,46,F
351,49,F
352,36,Other
353,52,M
354,60,M
355,49,Other
356,37,Other
357,68,M
358,57,F
359,37,M
360,25,Other
361,52,M
362,59,M
363,30,M
364,58,Other
365,23,Other
366,64,M
367,33,M
368,22,F
369,62,F
370,68,M
371,51,Other
372,23,F
373,50,M
374,32,F
375,32,F
376,31,F
377,56,Other
378,22,M
379,69,Other
380,43,Other
381,65,F
382,34,M
383,60,F
384,64,Other
385,69,Other
386,33,M
387,52,Other
388,55,Other
389,40,M
390,30,F
391,50,M
392,46,Other
393,63,M
394,51,F
395,51,Other
396,44,F
397,32,F
398,67,M
399,26,F
400,43,M
401,20,M
402,53,F
403,64,M
404,22,M
405,37,F
406,37,Other
407,22,M
408,27,M
409,33,F
410,42,M
411,61,F
412,42,Other
413,47,Other
414,31,F
415,39,Other
416,60,F
417,45,M
418,47,Other
419,36,M
420,55,M
421,59,F
422,37,Other
423,52,Other
424,39,M
425,32,M
426,28,F
427,51,Other
428,41,F
429,23,F
430,34,F
431,45,Other
432,67,F
433,48,Other
434,53,F
435,26,M
436,27,F
437,38,F
438,51,Other
439,48,M
440,46,M
441,60,Other
442,60,Other
443,28,M
444,50,Other
445,63,M
446,18,F
447,38,F
448,40,M
449,26,M
450,18,F
451,38,F
452,39,M
453,21,Other
454,18,Other
455,68,M
456,27,Other
457,32,F
458,69,F
459,53,Other
460,46,M
461,69,F
462,63,F
463,22,F
464,46,Other
465,64,M
466,64,Other
467,44,M
468,42,M
469,33,Other
470,33,F
471,53,M
472,42,Other
473,58,F
474,18,M
475,22,M
476,58,F
477,37,M
478,22,Other
479,53,M
480,46,M
481,65,F
482,51,Other
483,65,F
484,35,Other
485,19,F
486,33,M
487,46,Other
488,50,Other
489,33,M
490,52,F
491,64,Other
492,60,M
493,59,M
494,34,Other
495,21,Other
496,66,Other
497,21,M
498,68,F
499,42,F
